Date,Open,High,Low,Close,Adj Close,Volume
2012-04-04,40.598000,40.598000,40.598000,40.598000,40.598000,0
2012-04-05,40.581001,40.581001,40.581001,40.581001,40.581001,0
2012-04-06,40.581001,40.581001,40.581001,40.598000,40.598000,0
2012-04-09,40.592999,40.592999,40.592999,40.592999,40.592999,0
2012-04-10,40.583000,40.583000,40.583000,40.583000,40.583000,0
2012-04-11,40.250000,40.250000,40.250000,40.250000,40.250000,0
2012-04-12,40.228001,40.228001,40.228001,40.228001,40.228001,0
2012-04-13,40.244999,40.244999,40.244999,40.244999,40.244999,0
2012-04-16,40.230000,40.230000,40.230000,40.230000,40.230000,0
2012-04-17,40.238998,40.238998,40.238998,40.238998,40.238998,0
2012-04-18,40.237999,40.271999,40.223999,40.271999,40.271999,0
2012-04-19,40.237999,40.308998,40.237999,40.308998,40.308998,0
2012-04-20,40.236000,40.236000,40.236000,40.236000,40.236000,0
2012-04-23,40.747002,40.747002,40.747002,40.747002,40.747002,0
2012-04-24,40.735001,40.735001,40.735001,40.735001,40.735001,0
2012-04-25,40.991001,40.991001,40.991001,40.991001,40.991001,0
2012-04-26,40.994999,41.061001,40.994999,41.061001,41.061001,0
2012-04-27,40.977001,40.977001,40.977001,40.977001,40.977001,0
2012-04-30,40.889000,40.995998,40.889000,40.995998,40.995998,0
2012-05-01,40.889000,40.995998,40.889000,40.901001,40.901001,0
2012-05-02,41.000000,41.082001,41.000000,41.082001,41.082001,0
2012-05-03,41.071999,41.071999,41.034000,41.034000,41.034000,0
2012-05-04,41.084000,41.084000,41.084000,41.084000,41.084000,0
2012-05-07,41.091000,41.091000,41.091000,41.091000,41.091000,0
2012-05-08,41.075001,41.075001,41.075001,41.075001,41.075001,0
2012-05-09,41.088001,41.088001,41.088001,41.088001,41.088001,0
2012-05-10,41.127998,41.127998,41.127998,41.127998,41.127998,0
2012-05-11,41.077999,41.077999,41.077999,41.077999,41.077999,0
2012-05-14,41.076000,41.076000,41.076000,41.076000,41.076000,0
2012-05-15,41.067001,41.067001,41.067001,41.067001,41.067001,0
2012-05-16,41.061001,41.061001,41.061001,41.061001,41.061001,0
2012-05-17,40.969002,41.203999,40.969002,41.203999,41.203999,0
2012-05-18,41.129002,41.129002,41.129002,41.129002,41.129002,0
2012-05-21,40.853001,41.174000,40.853001,41.039001,41.039001,0
2012-05-22,41.182999,41.429001,41.182999,41.429001,41.429001,0
2012-05-23,41.186001,41.431000,41.186001,41.431000,41.431000,0
2012-05-24,41.501999,41.501999,41.191002,41.299999,41.299999,0
2012-05-25,41.175999,41.368000,41.175999,41.368000,41.368000,0
2012-05-28,41.111000,41.320000,41.111000,41.320000,41.320000,0
2012-05-29,41.340000,41.340000,41.169998,41.324001,41.324001,0
2012-05-30,41.077999,41.366001,41.077999,41.366001,41.366001,0
